g1;codkon;codvuz;z2;g7;g5;g6;g8;g9;g10;g11;g2;g21;g22;g23;g24
109;04;    92;;44.41.35;700000;""" Исследование и разработка новых способов производства кремния и повышения коэффициента полезного действия кремниевых элементов для солнечных батарей.""";Целиков В.А.;заведующий кафедрой;профессор;доктор физико-математических наук;0;0;0;0;0
 19;04;    68;;44.09;700000;Нетрадиционные методы энергосбережения в промышленных тепломассообменных установках с неравномерным распределением потоков и параметров;Хусаинов А.А.;;;;0;0;0;0;0
112;04;    71;;59.14.29;400000;Формирование облика системы принятия решений нейросетевого типа по управлению подвижными объектами в условиях конфликтных ситуаций;Зиненко В.И.;заведующий кафедрой;профессоръ;доктор технических наук;0;0;0;0;0
 43;04;    18;;44.31.31;600000;СОЗДАНИЕ ЭКОЛОГИЧЕСКИ ЦЕЛЕСООБРАЗНОЙ ТЕХНОЛОГИИ ОБЕЗВРЕЖИВАНИЯ СТОЧНЫХ ВОД СИСТЕМ ГИДРОЗОЛОУДАЛЕНИЯ ТЭС;Манаков Н.Л.;декан;профессор;доктор технических наук;0;0;0;0;0
 49;04;    71;;45.53.35;500000;Энергосберегающие источники питания технологических установок на базе электромеханических накопителей-преобразователей;Александров К.С.;профессор;профессор;доктор технических наук;0;0;0;0;0
 50;04;   100;;45.01.29;600000;Алгоритмическое, методическое и программное обеспечение анализа тепловых режимов электротехнических устройств в условиях неопределенности;Попов О.Н.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 51;04;    36;;45.01.81;600000;Изучение взаимодействия электромагнитных волн в нелинейной среде и создание прибора для контроля упрочненного слоя на стальных изделиях;Нечаева Т.И.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 52;04;    93;;45.01;700000;Экспериментальное и теоретическое обоснование применения объема униполярного пробоя газа (УПГ) в устройствах автоматического контроля в технологических процессах вредных производств, протекающих через;Суминов В.М.;доцент;старший научный сотрудник;кандидат физико-математических наук;0;0;0;0;0
 23;04;    55;;44.29.39;400000;Разработка способов прямого преобразования тепла в электроэнергию переменного тока;Ибрагимов К.И.;;;;0;0;0;0;0
 53;04;    69;;45.01.29,45.01.45;500000;Исследование и разработка диалоговой системы проектирования электротехнических объектов на ос-нове базы данных магнитных материалов;Герасимов И.В.;доцент;доцент;кандидат технических наук;0;0;0;0;0
 54;04;    53;;45.43.35;700000;"""Разpаботка индукционных устpойств для нагpева железнодоpожных цистеpн пpи сливе вязких пpодуктов""";Труфанов А.И.;заведующий кафедрой;доцент;кандидат технических наук;0;0;0;0;0
 55;04;   100;;45.31;700000;Разработка транзисторно-резисторных аппаратов защиты и коммутации;Якункин М.М.;профессор;профессор;доктор технических наук;0;0;0;0;0
 24;04;    60;;44.29.39;700000;Оптимизация автономных электромеханических преобразователей по критерию энергоснабжения;Чупахина Г.Н.;;;;0;0;0;0;0
 62;04;    73;;45.41.31;500000;АВТОМАТИЗИРОВАННЫЙ ЭЛЕКТРОПРИВОД СОВМЕЩЕННЫХ ЛИТЕЙНО-ПРОКАТНЫХ АГРЕГАТОВ;Вертухов М.В.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 69;04;    55;;45.01.81;400000;""" Расширение функциональных возможностей ме-тодов эксплуатации по фактическому состоянию электротехнических уст-ройств и агрегатов""";Дмитриев С.В.;ведущий научный сотрудник;доцент;кандидат технических наук;0;0;0;0;0
 31;04;    88;;44.09.29;600000;Повышение эффективности использования топлива в промышленных циклонных нагревательных устройствах на основе энергоэкологоэкономической оптимизации геометрических и режимных характеристик;Матисон В.А.;;;;0;0;0;0;0
 16;05;    35;;36.01.29,87.03.17;400000;Экономико-математические модели оценки охотничьих и сельскохозяйственных угодий (Прибайкалье).;Кульчин Ю.Н.;заведующий лабораторией;старший научный сотрудник;кандидат экономических наук;0;0;0;0;0
  4;05;    90;;36.33.03,36.33.23;400000;Методы, алгоритмы и система автоматизированного создания карт по статистическим данным с оцениванием точности картирования.;Ежов А.И.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 11;05;    80;;36.16.03;600000;Исследование крутильно-резонансного метода измерения пространственных производных гравитационного поля Земли.;Миляев А.Ф.;старший научный сотрудник;старший научный сотрудник;кандидат технических наук;0;0;0;0;0
 22;05;    92;;36.29.31;400000;Исследование и разработка методов повышения дешифрируемости изображений и улучшения представляемого изображениями инструментального разрешения на местности при дистанционном зондировании Земли (обрабо;Джавадов Г.Г.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 12;05;    93;;36.16.39,37.31.31;400000;Разработка проблемы влияния нетектонических факторов на результаты исследований современных движений земной коры геодезическими методами.;Куликов С.Н.;заведующий кафедрой;доцент;доктор технических наук;0;0;0;0;0
 24;05;    92;;36.29.31;500000;Разработка основ теории, принципов построения, алгоритмического обеспечения автоматизированных систем обработки изображений на базе твердотельных приемников оптического излучения.;Геращенко А.Н.;заведующий кафедрой;профессор;доктор технических наук;0;0;0;0;0
 82;06;    60;;50.09.37;400000;Разработка прецизионного датчика угловых перемещений на основе регулярных монокристаллических структур;Кшевецкий С.П.;профессор;профессор;кандидат технических наук;0;0;0;0;0
 83;06;    57;;90.03;400000;Разработка региональной системы управления качеством окружающей среды;Дедков А.П.;заведующий кафедрой;доцент;доктор экономических наук;0;0;0;0;0
 16;06;    51;;50.43.15,50.43.17;600000;Разработка методов синтеза алгоритмов управления ускорителями макрочастиц с использованием экспериментальных данных;Орлова Т.Т.;ведущий научный сотрудник;профессор;доктор физико-математических наук;0;0;0;0;0
 87;06;    74;;90.03;700000;Разработка теоретических основ и метрологического обеспечения магнитного контроля качества ферритовых порошковых материалов;Шишканов А.Г.;ректор;профессор;доктор технических наук;0;0;0;0;0
 88;06;    16;;90.03;500000;Разработка научных основ сертификации многомерных измерений;Вагмутов В.П.;заведующий кафедрой;профессор;кандидат технических наук;0;0;0;0;0
100;06;    35;;50.09.37;400000;Измерительные преобразователи расхода газа на основе тепловых и меточных методов измерения;Киншт Н.В.;профессор;профессор;доктор технических наук;0;0;0;0;0
